[30-Jun-2017 13:43:17 Asia/Tokyo] PHP Fatal error:  Class 'Gravatar' not found in /home/ubuntu/workspace/ekiben-reviews/storage/framework/views/87041fd7bd1cc0f5ba3f1c8c93f0d054 on line 25
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  40. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  41. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  42. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  43. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  44. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  45. Illuminate\Routing\Router->prepareResponse() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:113
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  46. Symfony\Component\HttpFoundation\Response->__construct() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1229
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  47. Illuminate\Http\Response->setContent() /home/ubuntu/workspace/ekiben-reviews/vendor/symfony/http-foundation/Response.php:202
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  48. Illuminate\View\View->render() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Http/Response.php:51
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  49. Illuminate\View\View->renderContents() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:83
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  50. Illuminate\View\View->getContents() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:118
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  51. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:147
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  52. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  53. include() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Engines/PhpEngine.php:42
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  54. Illuminate\View\View->render() /home/ubuntu/workspace/ekiben-reviews/storage/framework/views/e6cd7e35ac0e5e75d5f26aa4bd99d640:24
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  55. Illuminate\View\View->renderContents() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:83
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  56. Illuminate\View\View->getContents() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:118
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  57. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:147
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  58. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  59. include() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Engines/PhpEngine.php:42
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  60. Illuminate\View\View->render() /home/ubuntu/workspace/ekiben-reviews/storage/framework/views/143d17587f6118204b8972443d8dcabf:18
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  61. Illuminate\View\View->renderContents() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:83
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  62. Illuminate\View\View->getContents() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:118
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  63. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/View.php:147
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  64. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
[30-Jun-2017 13:43:17 Asia/Tokyo] PHP  65. include() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Engines/PhpEngine.php:42
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP Fatal error:  Class 'App\Http\Controllers\Item' not found in /home/ubuntu/workspace/ekiben-reviews/app/Http/Controllers/ItemsController.php on line 19
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP Stack trace:
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/ekiben-reviews/server.php:0
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/ekiben-reviews/server.php:21
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/ekiben-reviews/public/index.php:54
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/app/Http/Middleware/Authenticate.php:45
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Jun-2017 15:08:32 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/ekiben-reviews/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
